holding_id,account_id,security_id,as_of_date,quantity,market_value_local,market_value_usd,cost_basis_usd,currency
H000001,ACC0001,SEC0001,2026-04-25,5000,920000.00,920000.00,750000.00,USD
H000002,ACC0001,SEC0002,2026-04-25,3000,1230000.00,1230000.00,950000.00,USD
H000003,ACC0001,SEC0006,2026-04-25,500000,495000.00,495000.00,500000.00,USD
H000004,ACC0002,SEC0003,2026-04-25,1500,255000.00,255000.00,210000.00,USD
H000005,ACC0002,SEC0004,2026-04-25,2000,1840000.00,1840000.00,1200000.00,USD
H000006,ACC0002,SEC0007,2026-04-25,1000000,920000.00,920000.00,1000000.00,USD
H000007,ACC0003,SEC0009,2026-04-25,50000,160000.00,205000.00,180000.00,GBP
H000008,ACC0003,SEC0011,2026-04-25,75000,7500000.00,8025000.00,7500000.00,EUR
H000009,ACC0004,SEC0008,2026-04-25,2500000,2400000.00,2400000.00,2500000.00,USD
H000010,ACC0004,SEC0005,2026-04-25,8000,1840000.00,1840000.00,1500000.00,USD
H000011,ACC0005,SEC0012,2026-04-25,1200,228000.00,228000.00,180000.00,USD
H000012,ACC0005,SEC0013,2026-04-25,5000,580000.00,580000.00,520000.00,USD
H000013,ACC0006,SEC0009,2026-04-25,200000,640000.00,820000.00,720000.00,GBP
H000014,ACC0007,SEC0014,2026-04-25,3000,180000.00,180000.00,165000.00,USD
H000015,ACC0007,SEC0015,2026-04-25,1500,240000.00,240000.00,210000.00,USD
H000016,ACC0008,SEC0006,2026-04-25,2000000,1980000.00,1980000.00,2000000.00,USD
H000017,ACC0010,SEC0010,2026-04-25,15000,42000000.00,275000.00,250000.00,JPY
H000018,ACC0001,SEC0001,2026-04-24,5000,915000.00,915000.00,750000.00,USD
H000019,ACC0002,SEC0004,2026-04-24,2000,1820000.00,1820000.00,1200000.00,USD
H000020,ACC0003,SEC0009,2026-04-24,50000,159000.00,203000.00,180000.00,GBP
